ID,Gender,Income,Education_Years,Ed_Category,MaritalStatus,Age,Age_Groups,Race,Hispanic_origin,Region,State,Household_status,Household_summary,Change_msa,Change_region,Move_within_reg,Moved_last_year,Move_sunbelt,Num_persons_worked,Family_members_under18,Birth_country_father,Birth_country_mother,Birth_country_self,Citizenship,Fill_vet_survey,Vet_benefits,Year,Birth_country_father_Reclassify,Birth_country_mother_Reclassify,Birth_country_self_Reclassify,Hour_wage,Capital_gains,Capital_losses,Dividends,Weeks_worked,Type_worker,Industry_code,Occupation_code,Union_member,Reason_unemployed,Employment_status,Tax_status,Own_business,Income_category,Stock_numbers,Investment,Employed,Educated_fulltime,Educated_earning_age
2646,Female,-50000,10,No High School Degree,Married,64,Sixties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Children or Armed Forces          ,Nonfiler                    ,NA,-50000,0,F,F,No ,No 
2662,Female,-50000,11,No High School Degree,Married,76,Older,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Not in labor force                ,Nonfiler                    ,NA,-50000,0,F,F,No ,No 
2775,Female,50000+.,16,Bachelors Degree,Divorced,38,Thirties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,27828,0,0,52,Private                       ,Hospital services                  ,Professional specialty               ,Not applicable,Not applicable,Full-time schedules               ,Single                      ,NA, 50000+. ,27828,T,T,Yes,Yes
2795,Male,50000+.,18,Advanced Degree,Never Married,26,Young,White                      ,All other                ,Midwest       ,Minnesota     ,Secondary individual                     ,Nonrelative of householder   ,MSA to MSA      ,Same county                  ,Same county                ,No            ,No            ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,Private                       ,Manufacturing-durable goods        ,Professional specialty               ,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA, 50000+. ,0,F,T,Yes,No 
2865,Female,-50000,12,High School Degree,Married,37,Thirties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,Private                       ,Retail trade                       ,Other service                        ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
2899,Female,-50000,14,Some College,Married,42,Forties,Black                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Not in labor force                ,Joint both under 65         ,NA,-50000,0,F,F,No ,No 
2971,Female,-50000,11.5,No High School Degree,Married,23,Young,Other                      ,Mexican-American         ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,52,Private                       ,Retail trade                       ,Other service                        ,Not applicable,Not applicable,Full-time schedules               ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
2988,Female,-50000,12,High School Degree,Married,41,Forties,White                      ,Other Spanish            ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,26,Private                       ,Social services                    ,Other service                        ,Not applicable,Not applicable,Full-time schedules               ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
3045,Female,-50000,12,High School Degree,Married,57,Fifties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,44,Private                       ,Other professional services        ,Adm support including clerical       ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
3072,Male,-50000,12.5,Some College,Never Married,23,Young,White                      ,All other                ,South         ,Oregon        ,Nonfamily householder                    ,Householder                  ,MSA to MSA      ,Same county                  ,Same county                ,No            ,Yes           ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,Private                       ,Wholesale trade                    ,Sales                                ,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,0,F,T,No ,No 
3084,Male,50000+.,18,Advanced Degree,Divorced,46,Forties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,2751,0,0,300,52,Federal government            ,Construction                       ,Professional specialty               ,No            ,Not applicable,PT for econ reasons usually PT    ,Head of household           ,NA, 50000+. ,300,T,T,Yes,Yes
3100,Female,-50000,18,Advanced Degree,Never Married,57,Fifties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,0,F,F,No ,Yes
3176,Female,-50000,14,Some College,Separated,39,Thirties,White                      ,All other                ,Not applicable,Not applicable,RP of unrelated subfamily                ,Nonrelative of householder   ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,2,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,Private                       ,Medical except hospital            ,Professional specialty               ,Not applicable,Not applicable,Children or Armed Forces          ,Head of household           ,NA,-50000,0,F,T,No ,No 
3193,Male,-50000,12.5,Some College,Never Married,43,Forties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,1000,52,Private                       ,Retail trade                       ,Sales                                ,Not applicable,Not applicable,Full-time schedules               ,Single                      ,NA,-50000,1000,T,T,No ,No 
3216,Female,-50000,16,Bachelors Degree,Never Married,25,Young,White                      ,All other                ,Not applicable,Not applicable,Secondary individual                     ,Nonrelative of householder   ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,52,Federal government            ,Public administration              ,Executive admin and managerial       ,Not applicable,Not applicable,Full-time schedules               ,Single                      ,NA,-50000,0,F,T,Yes,No 
3259,Female,-50000,12,High School Degree,Divorced,30,Thirties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,2,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,2354,0,0,52,Private                       ,Finance insurance and real estate  ,Executive admin and managerial       ,No            ,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,2354,T,T,No ,No 
3277,Female,50000+.,12,High School Degree,Divorced,57,Fifties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,2500,52,Private                       ,Manufacturing-durable goods        ,Machine operators assmblrs & inspctrs,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA, 50000+. ,2500,T,T,No ,No 
3291,Male,-50000,12.5,Some College,Married,28,Young,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,No            ,Yes           ,94,United States,United States,United States,800,0,0,0,52,Private                       ,Other professional services        ,Technicians and related support      ,No            ,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
